"구분","데이터ID","도시/지역코드","명칭(한글)","명칭(영문)","카테고리/유형","권장비용(KRW)","설명(한글)","설명(영문)","교통/상세정보","공식웹사이트/이미지","공공데이터출처"
"관광명소/체험","seoul_palace_hanbok","SEOUL","경복궁 한복 체험 & 북촌 한옥마을 도보 투어","Gyeongbokgung (Hanok & Hanbok Walk)","명소","0","아름다운 한복을 입고 조선 제일의 법궁 경복궁과 고즈넉한 북촌 한옥마을 골목길을 걷는 필수 전통 투어","Traditional cultural walk touring Gyeongbokgung Palace in Korean hanbok dress and strolling through historic Bukchon Hanok alleys","3호선 경복궁역 5번 출구 / 3호선 안국역 1, 2번 출구","https://www.royalpalace.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_changdeok_secret","SEOUL","유네스코 창덕궁 및 후원(비원) 정원 투어 티켓","Changdeokgung Palace & Secret Garden Ticket","명소","8000","유네스코 세계유산 창덕궁 전각과 자연 지형을 그대로 살린 조선 왕실의 비밀 정원(후원·비원) 특별 관람 티켓","Admission ticket to UNESCO World Heritage Changdeokgung Palace and its secluded Royal Secret Garden (Biwon)","3호선 안국역 3번 출구 도보 5분","https://www.cdg.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_insadong_ssamzi","SEOUL","인사동 전통 공예 골목 & 쌈지길 아트 투어","Insadong Cultural Street & Ssamzigil","쇼핑","0","전통 필방, 고미술 갤러리, 전통 찻집과 나선형 아트 공예 복합몰 쌈지길을 둘러보는 인사동 도보 투어","Traditional artisan craft street packed with antique galleries, tea houses, and spiral cultural crafts complex Ssamzigil","3호선 안국역 6번 출구 도보 2분","https://english.visitseoul.net","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","jeonju_hanok_heritage","JEONJU","전주 한옥마을 골목 탐방 & 전동성당 랜드마크 뷰","Jeonju Hanok Village & Jeondong Cathedral","명소","0","700여 채의 한옥이 도심에 어우러진 전주 한옥마을과 100년 역사의 비잔틴·로마네스크 양식 전동성당 랜드마크 산책로","Scenic historic stroll featuring over 700 traditional Hanok houses and the iconic 100-year-old Romanesque Jeondong Cathedral","전주역/터미널 시내버스 119, 535번 탑승 → 전동성당·한옥마을 하차","https://tour.jeonju.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","gyeongju_unesco_temple","GYEONGJU","유네스코 세계유산 불국사 & 석굴암 신라 헤리티지 투어","UNESCO Bulguksa Temple & Seokguram Grotto","명소","0","다보탑, 석가탑의 정교한 석조 건축 불국사와 토함산 화강암 석굴에 조각된 본존불 석굴암을 탐방하는 유네스코 세계유산 명소","UNESCO World Heritage tour exploring Bulguksa Temple's historic stone pagodas and sacred granite Seokguram Grotto","신경주역 700번 버스 → 불국사 하차 (석굴암 셔틀 12번 환승)","http://www.bulguksa.or.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","gyeongju_daereungwon_night","GYEONGJU","대릉원 고분군 & 첨성대·동궁과 월지(안압지) 신라 달빛 야경 투어","Daereungwon & Donggung/Wolji Moonlight Night View","명소","3000","신라 왕릉 고분 숲 대릉원 산책과 동양 최고 천문대 첨성대, 신라 별궁 동궁과 월지의 호수 반영 황금빛 야경 감상 투어","Stroll through ancient royal tumuli at Daereungwon, view historic Cheomseongdae, and witness golden nighttime water reflections at Donggung Palace and Wolji Pond","신경주역 50, 70번 버스 → 월성동 하차 (도보 3분)","https://www.gyeongju.go.kr/tour/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_gwangjang_market","SEOUL","종로 광장시장 & 청계천 야간 산책로 투어","Gwangjang Food Market & Cheonggyecheon Night Walk","명소","0","100년 역사의 광장시장 먹거리 장터 탐방과 맑은 물길을 따라 걷는 청계천 야간 도심 산책로 투어","Historic 100-year Gwangjang food alley tour paired with a refreshing illuminated night walk along Cheonggyecheon Stream","1호선 종로5가역 7, 8번 출구 도보 1분","http://www.kwangjangmarket.co.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_palace_hanok","SEOUL","경복궁 & 북촌 한옥마을 도보 투어","Gyeongbokgung Palace & Bukchon Hanok Alleys","명소","0","조선 왕조의 법궁 경복궁 경내와 고즈넉한 북촌 한옥 골목길의 전통 미학을 만끽하는 대표 도보 투어","Scenic historic walk through royal Gyeongbokgung Palace and traditional hillside Bukchon Hanok village alleys","3호선 안국역 2번 출구 / 경복궁역 5번 출구","https://english.visitseoul.net","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","jeonju_hanok_night_food","JEONJU","전주 한옥마을 골목길 & 남부시장 청년몰/야시장 투어","Jeonju Hanok Village & Nambu Market Food Crawl","명소","0","700여 채의 한옥 골목길 정취와 남부시장 2층 청년몰, 활기 넘치는 주말 야시장 길거리 음식 탐방 투어","Stroll through historic Hanok village alleys, hip youth mall and bustling weekend Nambu Market night food crawl","전주역/터미널 시내버스 119, 535번 탑승 → 전동성당·한옥마을 하차","https://tour.jeonju.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_jagalchi_biff","BUSAN","자갈치 수산시장 & 남포동 BIFF 광장 먹자골목 투어","Jagalchi Seafood Market & BIFF Food Alley","명소","0","살아 숨 쉬는 자갈치 아지매들의 수산시장과 영화의 거리 남포동 BIFF광장의 씨앗호떡, 비빔당면 먹거리 투어","Bustling Jagalchi seafood auction market combined with movie history and iconic street snacks along Nampo BIFF Square","1호선 자갈치역 10번 출구 / 남포역 1번 출구 (도보 3분)","https://www.bisco.or.kr/jagalchimarket/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
